"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"alp_booltrue","Yes","Yes","Ano","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",
"alp_boolfalse","No","No","Ne","No","No","No","No","No","No","No","No","No","No","No",
"STR_menuInfoSites","Info about server","Info about server","Informace o serveru","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server",
"STR_menuPlayerCharacter","Info about you","Info about you","Informace o tvé postavě","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you",
"STR_koruny_description","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Neoficiální měna po globální katastrofě","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse",
"STR_koruny_name","CZK","CZK","Kč","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK",
"STR_korunyRare_description","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Zlaté 'obchodní' mince neražené pro běžný oběh","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation",
"STR_korunyRare1_name","Golden ducat","Golden ducat","Zlatý dukát","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat",
"STR_alp_anabolic0","Anabolic steroids","Anabolic steroids","Anabolické steroidy","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids",
"STR_alp_anabolic1","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolické steroidy neboli anabolické androgenní steroidy jsou syntetické deriváty látky podobné mužskému hormonu testosteronu.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.",
"STR_alp_lifeinsurance","Life insurance","Life insurance","Životní pojištění","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance",
"STR_alp_lifeinsurance_desc","Days till expiration","Days till expiration","Počet dní do vypršení platnosti","Days till expiration","Days till expiration","Days till expiration","Days till expiration","Days till expiration","Days till expiration","Days till expiration","Days till expiration","Days till expiration","Days till expiration","Days till expiration",
"STR_alp_lifeinsurance_expired","Expired","Expired","Platnost vypršela","Expired","Expired","Expired","Expired","Expired","Expired","Expired","Expired","Expired","Expired","Expired",
"STR_alp_plotpole","Plot pole","Plot pole","Pozemková značka","Plot pole","Plot pole","Plot pole","Plot pole","Plot pole","Plot pole","Plot pole","Plot pole","Plot pole","Plot pole","Plot pole",
"STR_alp_plotpole_desc","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","Zabezpečuje vaše území před nepřáteli. Nikdo nemůže umisťovat předměty, vystupovat z vozidel a stavět v této oblasti, kromě vašich klanových kamarádů.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects, getting out of vehicles and building in this area, except of your clan mates.",
"trader_buing_title","Here is all I have.","Here is all I have.","Tady je vše co mám.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.","Here is all I have.",
"trader_selling_title","I give you best price for it...","I give you best price for it...","Neboj neošidím tě...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...","I give you best price for it...",
"trader_list_name","Item name","Item name","Název předmětu","Item name","Item name","Item name","Item name","Item name","Item name","Item name","Item name","Item name","Item name","Item name",
"trader_list_requiredlevel","Required Tier","Required Tier","Požadovaná úroveň","Required Tier","Required Tier","Required Tier","Required Tier","Required Tier","Required Tier","Required Tier","Required Tier","Required Tier","Required Tier","Required Tier",
"trader_list_Bcost","Purchase price","Purchase price","Nákup","Purchase price","Purchase price","Purchase price","Purchase price","Purchase price","Purchase price","Purchase price","Purchase price","Purchase price","Purchase price","Purchase price",
"trader_list_Scost","Selling price","Selling price","Prodej","Selling price","Selling price","Selling price","Selling price","Selling price","Selling price","Selling price","Selling price","Selling price","Selling price","Selling price",
"trader_list_stock","In stock","In stock","Na skladě","In stock","In stock","In stock","In stock","In stock","In stock","In stock","In stock","In stock","In stock","In stock",
"trader_list_plus","+","+","+","+","+","+","+","+","+","+","+","+","+","+",
"trader_list_minus","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"trader_list_cart","In cart","In cart","V košíku","In cart","In cart","In cart","In cart","In cart","In cart","In cart","In cart","In cart","In cart","In cart",
"trader_store_title","Warehouse","Warehouse","Sklad zboží","Warehouse","Warehouse","Warehouse","Warehouse","Warehouse","Warehouse","Warehouse","Warehouse","Warehouse","Warehouse","Warehouse",
"trader_category_title","Category","Category","Kategorie","Category","Category","Category","Category","Category","Category","Category","Category","Category","Category","Category",
"trader_filtr_title","Filter","Filter","Filtr","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter",
"trader_cart_clear","Empty the cart","Empty the cart","Vysypat košík","Empty the cart","Empty the cart","Empty the cart","Empty the cart","Empty the cart","Empty the cart","Empty the cart","Empty the cart","Empty the cart","Empty the cart","Empty the cart",
"trader_cart_confirm","Confirm","Confirm","Potvrdit","Confirm","Confirm","Confirm","Confirm","Confirm","Confirm","Confirm","Confirm","Confirm","Confirm","Confirm",
"trader_cart_money","Cash","Cash","Hotovost","Cash","Cash","Cash","Cash","Cash","Cash","Cash","Cash","Cash","Cash","Cash",
"trader_cart_items","Count of items","Count of items","Položek v košíku","Count of items","Count of items","Count of items","Count of items","Count of items","Count of items","Count of items","Count of items","Count of items","Count of items","Count of items",
"trader_cart_costs","Bill","Bill","Účet","Bill","Bill","Bill","Bill","Bill","Bill","Bill","Bill","Bill","Bill","Bill",
"trader_cart_balance","Balance","Balance","Zůstatek","Balance","Balance","Balance","Balance","Balance","Balance","Balance","Balance","Balance","Balance","Balance",
"trader_info_loading","Loading data","Loading data","Nahrávám data","Loading data","Loading data","Loading data","Loading data","Loading data","Loading data","Loading data","Loading data","Loading data","Loading data","Loading data",
"trader_info_true","Transaction was successful.","Transaction was successful.","Transakce proběhla v pořádku.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.","Transaction was successful.",
"trader_info_false","Some items couldn't be traded.","Some items couldn't be traded.","Některé položky nebyly zobchodovány.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.","Some items couldn't be traded.",
"trader_info_tip","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB přidat do košíku. MMB náhled produktu. RMB odebrat z košíku.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.",
"trader_buing","How can I serve you?","How can I serve you?","Tak co by sis přál?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?","How can I serve you?",
"trader_info_noroom","You don´t have place in inventory.","You don´t have place in inventory.","Nemáš místo v inventáři.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.","You don´t have place in inventory.",
"trader_info_notpossible","Not possible.","Not possible.","Nedostupné.","Not possible.","Not possible.","Not possible.","Not possible.","Not possible.","Not possible.","Not possible.","Not possible.","Not possible.","Not possible.","Not possible.",
"trader_enter","You are in trade zone.","You are in trade zone.","Jsi v obchodní zóně.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.","You are in trade zone.",
"trader_left","You left trade zone.","You left trade zone.","Opustil si obchodní zónu.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.","You left trade zone.",
"trader_selling","Yeah I buy what you have...","Yeah I buy what you have...","Jo jo koupím co máš...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...","Yeah I buy what you have...",
"trader_selling_cat_vehicle","Vehicle","Vehicle","Dopravní prostředek","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle",
"trader_selling_cat_vehicleInv","Vehicle inventory","Vehicle inventory","Inventář auta","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory","Vehicle inventory",
"trader_selling_cat_inventory","Your inventory","Your inventory","Tvůj inventář","Your inventory","Your inventory","Your inventory","Your inventory","Your inventory","Your inventory","Your inventory","Your inventory","Your inventory","Your inventory","Your inventory",
"tc_clothes","Clothes","Clothes","Oblečení","Clothes","Clothes","Clothes","Clothes","Clothes","Clothes","Clothes","Clothes","Clothes","Clothes","Clothes",
"tc_military","Military","Military","Vojenské","Military","Military","Military","Military","Military","Military","Military","Military","Military","Military","Military",
"tc_food","Food","Food","Občerstvení","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food",
"tc_tools","Tools","Tools","Nástroje","Tools","Tools","Tools","Tools","Tools","Tools","Tools","Tools","Tools","Tools","Tools",
"tc_vehicles","Vehicles","Vehicles","Vozidla","Vehicles","Vehicles","Vehicles","Vehicles","Vehicles","Vehicles","Vehicles","Vehicles","Vehicles","Vehicles","Vehicles",
"tc_hunting","Hunting","Hunting","Lovecké","Hunting","Hunting","Hunting","Hunting","Hunting","Hunting","Hunting","Hunting","Hunting","Hunting","Hunting",
"tc_ammo","Ammo","Ammo","Munice","Ammo","Ammo","Ammo","Ammo","Ammo","Ammo","Ammo","Ammo","Ammo","Ammo","Ammo",
"tc_civil","Civil","Civil","Civilní","Civil","Civil","Civil","Civil","Civil","Civil","Civil","Civil","Civil","Civil","Civil",
"tc_constructing","Constructing","Constructing","Stavění","Constructing","Constructing","Constructing","Constructing","Constructing","Constructing","Constructing","Constructing","Constructing","Constructing","Constructing",
"tc_canned","Canned","Canned","Konzervované","Canned","Canned","Canned","Canned","Canned","Canned","Canned","Canned","Canned","Canned","Canned",
"tc_drinks","Drinks","Drinks","Nápoje","Drinks","Drinks","Drinks","Drinks","Drinks","Drinks","Drinks","Drinks","Drinks","Drinks","Drinks",
"tc_eletronics","Eletronics","Eletronics","Elektronika","Eletronics","Eletronics","Eletronics","Eletronics","Eletronics","Eletronics","Eletronics","Eletronics","Eletronics","Eletronics","Eletronics",
"tc_equipments","Equipments","Equipments","Vybavení","Equipments","Equipments","Equipments","Equipments","Equipments","Equipments","Equipments","Equipments","Equipments","Equipments","Equipments",
"tc_fresh","Fresh","Fresh","Čerstvé","Fresh","Fresh","Fresh","Fresh","Fresh","Fresh","Fresh","Fresh","Fresh","Fresh","Fresh",
"tc_gardening","Gardening","Gardening","Zahradničení","Gardening","Gardening","Gardening","Gardening","Gardening","Gardening","Gardening","Gardening","Gardening","Gardening","Gardening",
"tc_grenade","Grenades","Grenades","Granáty","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades","Grenades",
"tc_explosives","Explosives","Explosives","Výbušniny","Explosives","Explosives","Explosives","Explosives","Explosives","Explosives","Explosives","Explosives","Explosives","Explosives","Explosives",
"tc_mines","Mines","Mines","Miny","Mines","Mines","Mines","Mines","Mines","Mines","Mines","Mines","Mines","Mines","Mines",
"tc_magazines","Magazines","Magazines","Zásobníky","Magazines","Magazines","Magazines","Magazines","Magazines","Magazines","Magazines","Magazines","Magazines","Magazines","Magazines",
"tc_medic","Medic","Medic","Zdravotnické","Medic","Medic","Medic","Medic","Medic","Medic","Medic","Medic","Medic","Medic","Medic",
"tc_parts","Parts","Parts","Náhradní díly","Parts","Parts","Parts","Parts","Parts","Parts","Parts","Parts","Parts","Parts","Parts",
"tc_weapons","Weapons","Weapons","Zbraně","Weapons","Weapons","Weapons","Weapons","Weapons","Weapons","Weapons","Weapons","Weapons","Weapons","Weapons",
"tc_armband","Armband","Armband","Označování pásky","Armband","Armband","Armband","Armband","Armband","Armband","Armband","Armband","Armband","Armband","Armband",
"tc_assaultrifles","Assault rifles","Assault rifles","Útočné pušky","Assault rifles","Assault rifles","Assault rifles","Assault rifles","Assault rifles","Assault rifles","Assault rifles","Assault rifles","Assault rifles","Assault rifles","Assault rifles",
"tc_attachments","Attachments","Attachments","Příslušenství","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments",
"tc_axes","Axes","Axes","Sekery","Axes","Axes","Axes","Axes","Axes","Axes","Axes","Axes","Axes","Axes","Axes",
"tc_bags","Bags","Bags","Batohy","Bags","Bags","Bags","Bags","Bags","Bags","Bags","Bags","Bags","Bags","Bags",
"tc_cans","Cans","Cans","Plechovky","Cans","Cans","Cans","Cans","Cans","Cans","Cans","Cans","Cans","Cans","Cans",
"tc_packaged","Packaged","Packaged","Balené","Packaged","Packaged","Packaged","Packaged","Packaged","Packaged","Packaged","Packaged","Packaged","Packaged","Packaged",
"tc_bayonets","Bayonets","Bayonets","Bajonety","Bayonets","Bayonets","Bayonets","Bayonets","Bayonets","Bayonets","Bayonets","Bayonets","Bayonets","Bayonets","Bayonets",
"tc_belts","Belts","Belts","Pásky","Belts","Belts","Belts","Belts","Belts","Belts","Belts","Belts","Belts","Belts","Belts",
"tc_bones","Bones","Bones","Ostatky","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones",
"tc_boots","Boots","Boots","Boty","Boots","Boots","Boots","Boots","Boots","Boots","Boots","Boots","Boots","Boots","Boots",
"tc_canisters","Canisters","Canisters","Kanistry","Canisters","Canisters","Canisters","Canisters","Canisters","Canisters","Canisters","Canisters","Canisters","Canisters","Canisters",
"tc_cargo","Cargo","Cargo","Nákladní","Cargo","Cargo","Cargo","Cargo","Cargo","Cargo","Cargo","Cargo","Cargo","Cargo","Cargo",
"tc_compensator","Compensator","Compensator","Kompenzátory","Compensator","Compensator","Compensator","Compensator","Compensator","Compensator","Compensator","Compensator","Compensator","Compensator","Compensator",
"tc_crafting","Crafting","Crafting","Výroba","Crafting","Crafting","Crafting","Crafting","Crafting","Crafting","Crafting","Crafting","Crafting","Crafting","Crafting",
"tc_doors","Doors","Doors","Dveře","Doors","Doors","Doors","Doors","Doors","Doors","Doors","Doors","Doors","Doors","Doors",
"tc_fruits","Fruits","Fruits","Plody","Fruits","Fruits","Fruits","Fruits","Fruits","Fruits","Fruits","Fruits","Fruits","Fruits","Fruits",
"tc_ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie",
"tc_gloves","Gloves","Gloves","Rukavice","Gloves","Gloves","Gloves","Gloves","Gloves","Gloves","Gloves","Gloves","Gloves","Gloves","Gloves",
"tc_handmade","Handmade","Handmade","Runí výrobky","Handmade","Handmade","Handmade","Handmade","Handmade","Handmade","Handmade","Handmade","Handmade","Handmade","Handmade",
"tc_handtohand","HandToHand","HandToHand","Na férovku","HandToHand","HandToHand","HandToHand","HandToHand","HandToHand","HandToHand","HandToHand","HandToHand","HandToHand","HandToHand","HandToHand",
"tc_head","Head","Head","Hlava","Head","Head","Head","Head","Head","Head","Head","Head","Head","Head","Head",
"tc_hood","Hood","Hood","Kapoty","Hood","Hood","Hood","Hood","Hood","Hood","Hood","Hood","Hood","Hood","Hood",
"tc_knifes","Knifes","Knifes","Nože","Knifes","Knifes","Knifes","Knifes","Knifes","Knifes","Knifes","Knifes","Knifes","Knifes","Knifes",
"tc_lights","Lights","Lights","Světla","Lights","Lights","Lights","Lights","Lights","Lights","Lights","Lights","Lights","Lights","Lights",
"tc_locks","Locks","Locks","Zámky","Locks","Locks","Locks","Locks","Locks","Locks","Locks","Locks","Locks","Locks","Locks",
"tc_mask","Mask","Mask","Masky","Mask","Mask","Mask","Mask","Mask","Mask","Mask","Mask","Mask","Mask","Mask",
"tc_materials","Materials","Materials","Materiál","Materials","Materials","Materials","Materials","Materials","Materials","Materials","Materials","Materials","Materials","Materials",
"tc_meat","Meat","Meat","Maso","Meat","Meat","Meat","Meat","Meat","Meat","Meat","Meat","Meat","Meat","Meat",
"tc_mushrooms","Mushrooms","Mushrooms","Houby","Mushrooms","Mushrooms","Mushrooms","Mushrooms","Mushrooms","Mushrooms","Mushrooms","Mushrooms","Mushrooms","Mushrooms","Mushrooms",
"tc_nbc","NBC","NBC","NBC","NBC","NBC","NBC","NBC","NBC","NBC","NBC","NBC","NBC","NBC","NBC",
"tc_optic","Optics","Optics","Optiky","Optics","Optics","Optics","Optics","Optics","Optics","Optics","Optics","Optics","Optics","Optics",
"tc_pants","Pants","Pants","Kalhoty","Pants","Pants","Pants","Pants","Pants","Pants","Pants","Pants","Pants","Pants","Pants",
"tc_pelts","Pelts","Pelts","Kůže","Pelts","Pelts","Pelts","Pelts","Pelts","Pelts","Pelts","Pelts","Pelts","Pelts","Pelts",
"tc_pistols","Pistols","Pistols","Pistole","Pistols","Pistols","Pistols","Pistols","Pistols","Pistols","Pistols","Pistols","Pistols","Pistols","Pistols",
