"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"tc_radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio",
"tc_repairs","Repairs","Repairs","Údržba","Repairs","Repairs","Repairs","Repairs","Repairs","Repairs","Repairs","Repairs","Repairs","Repairs","Repairs",
"tc_rifles","Rifles","Rifles","Pušky","Rifles","Rifles","Rifles","Rifles","Rifles","Rifles","Rifles","Rifles","Rifles","Rifles","Rifles",
"tc_seeds","Seeds","Seeds","Sadba","Seeds","Seeds","Seeds","Seeds","Seeds","Seeds","Seeds","Seeds","Seeds","Seeds","Seeds",
"tc_shotguns","Shotguns","Shotguns","Brokovnice","Shotguns","Shotguns","Shotguns","Shotguns","Shotguns","Shotguns","Shotguns","Shotguns","Shotguns","Shotguns","Shotguns",
"tc_skirts","Skirts","Skirts","Sukně","Skirts","Skirts","Skirts","Skirts","Skirts","Skirts","Skirts","Skirts","Skirts","Skirts","Skirts",
"tc_snipers","Snipers","Snipers","Odstřelovačky","Snipers","Snipers","Snipers","Snipers","Snipers","Snipers","Snipers","Snipers","Snipers","Snipers","Snipers",
"tc_storages","Storages","Storages","Úložný prostor","Storages","Storages","Storages","Storages","Storages","Storages","Storages","Storages","Storages","Storages","Storages",
"tc_submachineguns","Submachine guns","Submachine guns","Samopaly","Submachine guns","Submachine guns","Submachine guns","Submachine guns","Submachine guns","Submachine guns","Submachine guns","Submachine guns","Submachine guns","Submachine guns","Submachine guns",
"tc_suppressors","Suppressors","Suppressors","Tlumiče","Suppressors","Suppressors","Suppressors","Suppressors","Suppressors","Suppressors","Suppressors","Suppressors","Suppressors","Suppressors","Suppressors",
"tc_tablets","Tablets","Tablets","Pilulky","Tablets","Tablets","Tablets","Tablets","Tablets","Tablets","Tablets","Tablets","Tablets","Tablets","Tablets",
"tc_tops","Tops","Tops","Svršky","Tops","Tops","Tops","Tops","Tops","Tops","Tops","Tops","Tops","Tops","Tops",
"tc_toys","Toys","Toys","Hračky","Toys","Toys","Toys","Toys","Toys","Toys","Toys","Toys","Toys","Toys","Toys",
"tc_transport","Transport","Transport","Transportní","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport",
"tc_trunk","Trunk","Trunk","Kufr","Trunk","Trunk","Trunk","Trunk","Trunk","Trunk","Trunk","Trunk","Trunk","Trunk","Trunk",
"tc_vests","Vests","Vests","Vesty","Vests","Vests","Vests","Vests","Vests","Vests","Vests","Vests","Vests","Vests","Vests",
"tc_water","Water","Water","Voda","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water",
"tc_wheels","Wheels","Wheels","Kola","Wheels","Wheels","Wheels","Wheels","Wheels","Wheels","Wheels","Wheels","Wheels","Wheels","Wheels",
"tc_wrenchs","Wrenchs","Wrenchs","Klíče","Wrenchs","Wrenchs","Wrenchs","Wrenchs","Wrenchs","Wrenchs","Wrenchs","Wrenchs","Wrenchs","Wrenchs","Wrenchs",
"tc_currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency",
"tc_rareitems","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items","Rare items",
"tc_furnishings","Furnishings","Furnishings","Vybavení základny","Furnishings","Furnishings","Furnishings","Furnishings","Furnishings","Furnishings","Furnishings","Furnishings","Furnishings","Furnishings","Furnishings",
"tc_insurance","Life insurance","Life insurance","Životní pojištění","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance","Life insurance",
"tc_machineguns","Machine guns","Machine guns","Kulomety","Machine guns","Machine guns","Machine guns","Machine guns","Machine guns","Machine guns","Machine guns","Machine guns","Machine guns","Machine guns","Machine guns",
"tc_medicaments","Medicaments","Medicaments","Léky","Medicaments","Medicaments","Medicaments","Medicaments","Medicaments","Medicaments","Medicaments","Medicaments","Medicaments","Medicaments","Medicaments",
"tc_camping","Camping","Camping","Kempování","Camping","Camping","Camping","Camping","Camping","Camping","Camping","Camping","Camping","Camping","Camping",
"tc_cooking","Cooking","Cooking","Vaření","Cooking","Cooking","Cooking","Cooking","Cooking","Cooking","Cooking","Cooking","Cooking","Cooking","Cooking",
"tc_groceries","Groceries","Groceries","Smíšené zboží","Groceries","Groceries","Groceries","Groceries","Groceries","Groceries","Groceries","Groceries","Groceries","Groceries","Groceries",
"tc_nvoptic","NV Optics","NV Optics","NV optiky","NV Optics","NV Optics","NV Optics","NV Optics","NV Optics","NV Optics","NV Optics","NV Optics","NV Optics","NV Optics","NV Optics",
"radzone_leave","You left radiation zone.","You left radiation zone.","Opustil si radiační zónu.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.","You left radiation zone.",
"radzone_enter","Beware you are in radiation zone!","Beware you are in radiation zone!","Pozor jsi v radiační zóně!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!","Beware you are in radiation zone!",
"ip_stats","Stats","Stats","Statistiky","Stats","Stats","Stats","Stats","Stats","Stats","Stats","Stats","Stats","Stats","Stats",
"ip_stamina","Stamina","Stamina","Výdrž","Stamina","Stamina","Stamina","Stamina","Stamina","Stamina","Stamina","Stamina","Stamina","Stamina","Stamina",
"ip_resistence","Radiation resistance","Radiation resistance","Odolnost proti radiaci","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance","Radiation resistance",
"ip_level","Your current level is ","Your current level is ","Vaše stávající úroveň je ","Your current level is ","Your current level is ","Your current level is ","Your current level is ","Your current level is ","Your current level is ","Your current level is ","Your current level is ","Your current level is ","Your current level is ","Your current level is ",
"ip_staminamdf","Increasing your stamina about ","Increasing your stamina about ","Zvyšuje vaší staminu o ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ","Increasing your stamina about ",
"ip_resistancemdf","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Zvýší vaší odolnost proti radiaci o ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ","Increasing your radiation resistance about ",
"ip_reputationmdf","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Odemyká položky u obchodníka a zároveň dostaneš lepší ceny.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.",
"ip_health","Health indicators","Health indicators","Ukazatele zdraví","Health indicators","Health indicators","Health indicators","Health indicators","Health indicators","Health indicators","Health indicators","Health indicators","Health indicators","Health indicators","Health indicators",
"ip_reputation","Reputation","Reputation","Reputace","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation",
"ip_reputation_score","Your current reputation","Your current reputation","Tvá stávající reputace","Your current reputation","Your current reputation","Your current reputation","Your current reputation","Your current reputation","Your current reputation","Your current reputation","Your current reputation","Your current reputation","Your current reputation","Your current reputation",
"ip_reputation_scoremax","Your highest reached reputation","Your highest reached reputation","Vaše nejvyšší dosažená reputace","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation","Your highest reached reputation",
"ip_ability","Ability","Ability","Schopnosti","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability",
"ip_yourmission","Your Mission","Your Mission","Tvé mise","Your Mission","Your Mission","Your Mission","Your Mission","Your Mission","Your Mission","Your Mission","Your Mission","Your Mission","Your Mission","Your Mission",
"ip_teamup","Your Clan","Your Clan","Tvůj Klan","Your Clan","Your Clan","Your Clan","Your Clan","Your Clan","Your Clan","Your Clan","Your Clan","Your Clan","Your Clan","Your Clan",
"ip_sendinvite","Send Invite","Send Invite","Poslat Pozvánku","Send Invite","Send Invite","Send Invite","Send Invite","Send Invite","Send Invite","Send Invite","Send Invite","Send Invite","Send Invite","Send Invite",
"ip_acceptinvite","Accept Invite","Accept Invite","Přijmout Pozvánku","Accept Invite","Accept Invite","Accept Invite","Accept Invite","Accept Invite","Accept Invite","Accept Invite","Accept Invite","Accept Invite","Accept Invite","Accept Invite",
"ip_declinetinvite","Decline Invite","Decline Invite","Odmítnout Pozvánku","Decline Invite","Decline Invite","Decline Invite","Decline Invite","Decline Invite","Decline Invite","Decline Invite","Decline Invite","Decline Invite","Decline Invite","Decline Invite",
"ip_newclan","New Clan","New Clan","Nový Klan","New Clan","New Clan","New Clan","New Clan","New Clan","New Clan","New Clan","New Clan","New Clan","New Clan","New Clan",
"ip_leaveclan","Leave Clan","Leave Clan","Opustit Klan","Leave Clan","Leave Clan","Leave Clan","Leave Clan","Leave Clan","Leave Clan","Leave Clan","Leave Clan","Leave Clan","Leave Clan","Leave Clan",
"ip_kickfromclan","Kick","Kick","Vykopnout","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick",
"ip_nameclan","Name of new clan","Name of new clan","Název nového klanu","Name of new clan","Name of new clan","Name of new clan","Name of new clan","Name of new clan","Name of new clan","Name of new clan","Name of new clan","Name of new clan","Name of new clan","Name of new clan",
"ip_playersonline","Players online","Players online","Hráči na serveru","Players online","Players online","Players online","Players online","Players online","Players online","Players online","Players online","Players online","Players online","Players online",
"ip_incominginvitefromclan","You have an invitation","You have an invitation","Máš pozvánku do klanu","You have an invitation","You have an invitation","You have an invitation","You have an invitation","You have an invitation","You have an invitation","You have an invitation","You have an invitation","You have an invitation","You have an invitation","You have an invitation",
"ip_halloffame","Hall of fame","Hall of fame","Síň slávy","Hall of fame","Hall of fame","Hall of fame","Hall of fame","Hall of fame","Hall of fame","Hall of fame","Hall of fame","Hall of fame","Hall of fame","Hall of fame",
"ip_hf_name","Name","Name","Jméno","Name","Name","Name","Name","Name","Name","Name","Name","Name","Name","Name",
"ip_hf_reputation","Reputation","Reputation","Reputace","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation","Reputation",
"ip_hf_killedplayers","Killed Players","Killed Players","Zabitých hráčů","Killed Players","Killed Players","Killed Players","Killed Players","Killed Players","Killed Players","Killed Players","Killed Players","Killed Players","Killed Players","Killed Players",
"ip_hf_skinnedplayers","Skinned Players","Skinned Players","Vykuchaných hráčů","Skinned Players","Skinned Players","Skinned Players","Skinned Players","Skinned Players","Skinned Players","Skinned Players","Skinned Players","Skinned Players","Skinned Players","Skinned Players",
"ip_hf_killedzombies","Killed Zombies","Killed Zombies","Zabitých zedů","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies","Killed Zombies",
"ip_hf_killedanimals","Killed Animals","Killed Animals","Zabitých zvířat","Killed Animals","Killed Animals","Killed Animals","Killed Animals","Killed Animals","Killed Animals","Killed Animals","Killed Animals","Killed Animals","Killed Animals","Killed Animals",
"ip_rank0","Private","Private","Vojín","Private","Private","Private","Private","Private","Private","Private","Private","Private","Private","Private",
"ip_rank1","Private First Class","Private First Class","Svobodník","Private First Class","Private First Class","Private First Class","Private First Class","Private First Class","Private First Class","Private First Class","Private First Class","Private First Class","Private First Class","Private First Class",
"ip_rank2","Corporal","Corporal","Desátník","Corporal","Corporal","Corporal","Corporal","Corporal","Corporal","Corporal","Corporal","Corporal","Corporal","Corporal",
"ip_rank3","Sergeant","Sergeant","Četař","Sergeant","Sergeant","Sergeant","Sergeant","Sergeant","Sergeant","Sergeant","Sergeant","Sergeant","Sergeant","Sergeant",
"ip_rank4","Staff Sergeant","Staff Sergeant","Rotný","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant","Staff Sergeant",
"ip_rank5","Sergeant First Class","Sergeant First Class","Rotmistr","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class","Sergeant First Class",
"ip_rank6","Master Sergeant","Master Sergeant","Nadrotmistr","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant","Master Sergeant",
"ip_rank7","First Sergeant","First Sergeant","Praporčík","First Sergeant","First Sergeant","First Sergeant","First Sergeant","First Sergeant","First Sergeant","First Sergeant","First Sergeant","First Sergeant","First Sergeant","First Sergeant",
"ip_rank8","Command Sergeant Major","Command Sergeant Major","Nadpraporčík","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major","Command Sergeant Major",
"ip_rank9","Sergeant Major of the Army","Sergeant Major of the Army","Štábní praporčík","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army","Sergeant Major of the Army",
"ip_rank10","Second Lieutenant","Second Lieutenant","Poručík","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant","Second Lieutenant",
"ip_rank11","First Lieutenant","First Lieutenant","Nadporučík","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant","First Lieutenant",
"ip_rank12","Captain","Captain","Kapitán","Captain","Captain","Captain","Captain","Captain","Captain","Captain","Captain","Captain","Captain","Captain",
"ip_rank13","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major","Major",
"ip_rank14","Lieutenant Colonel","Lieutenant Colonel","Podplukovník","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel","Lieutenant Colonel",
"ip_rank15","Colonel","Colonel","Plukovník","Colonel","Colonel","Colonel","Colonel","Colonel","Colonel","Colonel","Colonel","Colonel","Colonel","Colonel",
"ip_rank16","Brigadier General","Brigadier General","Brigádní generál","Brigadier General","Brigadier General","Brigadier General","Brigadier General","Brigadier General","Brigadier General","Brigadier General","Brigadier General","Brigadier General","Brigadier General","Brigadier General",
"ip_rank17","Major General","Major General","Generálmajor","Major General","Major General","Major General","Major General","Major General","Major General","Major General","Major General","Major General","Major General","Major General",
"ip_rank18","Lieutenant General","Lieutenant General","Generálporučík","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General","Lieutenant General",
"ip_rank19","General","General","Armádní generál","General","General","General","General","General","General","General","General","General","General","General",
"ip_you_have_been_promoted_to","You have been promoted to","You have been promoted to","Právě jsi byl povýšen na","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to","You have been promoted to",
"ip_you_have_been_degraded_to","You have been degraded to","You have been degraded to","Právě jsi byl degradován na","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to","You have been degraded to",
"ip_you_have_improved_your_stamina","You have improved your stamina","You have improved your stamina","Právě sis vylepšil svou fyzickou kondici","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina","You have improved your stamina",
"ip_you_have_gained_natural_radiation_resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","Získal si přirozenou odolnost proti radiačnímu záření","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","You have gained natural radiation resistance",
"pp_items_name","Tax","Tax","Poplatek","Tax","Tax","Tax","Tax","Tax","Tax","Tax","Tax","Tax","Tax","Tax",
"pp_items_radius","Radius","Radius","Poloměr","Radius","Radius","Radius","Radius","Radius","Radius","Radius","Radius","Radius","Radius","Radius",
"pp_items_time","Validity","Validity","Platnost","Validity","Validity","Validity","Validity","Validity","Validity","Validity","Validity","Validity","Validity","Validity",
"pp_validthrough","Valid through","Valid through","Platné do","Valid through","Valid through","Valid through","Valid through","Valid through","Valid through","Valid through","Valid through","Valid through","Valid through","Valid through",
"pp_protection","Territory protection","Territory protection","Ochrana území","Territory protection","Territory protection","Territory protection","Territory protection","Territory protection","Territory protection","Territory protection","Territory protection","Territory protection","Territory protection","Territory protection",
"pp_daysremains","Days remains","Days remains","Zbývá dnů","Days remains","Days remains","Days remains","Days remains","Days remains","Days remains","Days remains","Days remains","Days remains","Days remains","Days remains",
"pp_title","Tax Administration","Tax Administration","Daňová správa","Tax Administration","Tax Administration","Tax Administration","Tax Administration","Tax Administration","Tax Administration","Tax Administration","Tax Administration","Tax Administration","Tax Administration","Tax Administration",
"pp_context_menu_pack","Dismantle Plot pole","Dismantle Plot pole","Demontovat pozemkovou zančku","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole","Dismantle Plot pole",
"pp_someone_is_trying_to_get_into_your_base","Someone is trying to get into your base.","Someone is trying to get into your base.","Někdo se snaží dostat do vaší základy.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.","Someone is trying to get into your base.",
"pp_welcome_home","Welcome home.","Welcome home.","Vítej doma.","Welcome home.","Welcome home.","Welcome home.","Welcome home.","Welcome home.","Welcome home.","Welcome home.","Welcome home.","Welcome home.","Welcome home.","Welcome home.",
"pp_you_are_in_enemy_territory","You are in enemy territory.","You are in enemy territory.","Jsi na nepřátelském území.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.","You are in enemy territory.",
"pp_you_left_home","You left home.","You left home.","Opustil si base.","You left home.","You left home.","You left home.","You left home.","You left home.","You left home.","You left home.","You left home.","You left home.","You left home.","You left home.",
"pp_you_left_enemy_territory","You left enemy territory.","You left enemy territory.","Opustil si nepřátelské území.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.","You left enemy territory.",